date,city,death,pm10,tempF,o3,dow,season
1987-04-22,denv,21,NA,55.25,4.7163885431,Wednesday,Spring
1987-04-23,denv,28,NA,61.0,12.044896514,Thursday,Spring
1987-04-24,denv,16,6.171314741,64.75,7.0080552098,Friday,Spring
1987-04-25,denv,20,NA,65.5,10.480277432,Saturday,Spring
1987-04-26,denv,21,NA,64.5,17.76775783,Sunday,Spring
1987-04-27,denv,19,-8.579315167,59.5,6.281007625,Monday,Spring
1987-04-28,denv,17,-1.828685259,62.75,12.325652831,Tuesday,Spring
1987-04-29,denv,17,-8.828685259,65.0,11.091388543,Wednesday,Spring
1987-04-30,denv,16,-4.828685259,63.5,13.38305521,Thursday,Spring
1987-05-01,denv,11,-9.828685259,61.75,8.1469440987,Friday,Spring
1987-05-02,denv,17,-18.82868526,57.75,1.0465263096,Saturday,Spring
1987-05-03,denv,14,-24.29970194,44.75,9.8274996542,Sunday,Spring
1987-05-04,denv,12,NA,46.75,5.0539489296,Monday,Spring
1987-05-05,denv,15,-12.82868526,53.25,-3.525164335,Tuesday,Spring
1987-05-06,denv,14,-12.33388286,58.0,4.475826367,Wednesday,Spring
1987-05-07,denv,14,-11.82868526,58.75,9.0038689413,Thursday,Spring
1987-05-08,denv,14,0.171314741,63.0,8.8423792448,Friday,Spring
1987-05-09,denv,20,-9.336259612,67.5,10.226091164,Saturday,Spring
1987-05-10,denv,10,-17.82868526,66.5,16.697057888,Sunday,Spring
1987-05-11,denv,18,NA,62.5,6.9344244969,Monday,Spring
1987-05-12,denv,12,-0.833882859,63.0,10.899963422,Tuesday,Spring
1987-05-13,denv,15,-12.82868526,66.25,12.836563181,Wednesday,Spring
1987-05-14,denv,14,-6.828685259,64.75,9.7532298472,Thursday,Spring
1987-05-15,denv,13,-14.01552977,67.75,19.660832988,Friday,Spring
1987-05-16,denv,23,NA,67.75,14.521944099,Saturday,Spring
1987-05-17,denv,14,-18.82868526,64.25,5.3786041447,Sunday,Spring
1987-05-18,denv,17,-11.82868526,63.75,3.1137245542,Monday,Spring
1987-05-19,denv,19,-6.828685259,60.75,-4.950278124,Tuesday,Spring
1987-05-20,denv,14,-19.82868526,56.0,-3.884029246,Wednesday,Spring
1987-05-21,denv,10,-21.82931517,47.75,-8.478055901,Thursday,Spring
1987-05-22,denv,13,-14.82868526,56.5,1.0177578302,Friday,Spring
1987-05-23,denv,14,-21.82868526,60.5,3.8087854028,Saturday,Spring
1987-05-24,denv,12,-22.83908046,53.5,-1.397918135,Sunday,Spring
1987-05-25,denv,23,-21.82868526,58.25,10.433168999,Monday,Spring
