date,city,death,pm10,tempF,o3,dow,season
1987-05-03,salt,8,-28.92017544,50.5,5.0771238076,Sunday,Spring
1987-05-04,salt,9,16.952681388,56.0,3.848862938,Monday,Spring
1987-05-05,salt,13,-0.369474284,60.5,7.0209643873,Tuesday,Spring
1987-05-06,salt,13,1.952681388,68.0,14.535457141,Wednesday,Spring
1987-05-07,salt,10,-1.869474284,67.0,8.016517747,Thursday,Spring
1987-05-08,salt,13,-9.369474284,71.0,11.285457141,Friday,Spring
1987-05-09,salt,9,-13.2,70.5,9.2437904743,Saturday,Spring
1987-05-10,salt,14,-11.04731861,68.5,16.472957141,Sunday,Spring
1987-05-11,salt,13,-11.86947428,67.0,13.819877431,Monday,Spring
1987-05-12,salt,7,1.952681388,70.0,18.410457141,Tuesday,Spring
1987-05-13,salt,7,-12.36947428,69.5,9.3533919235,Wednesday,Spring
1987-05-14,salt,11,NA,71.0,4.3777190457,Thursday,Spring
1987-05-15,salt,16,-10.94581498,74.5,17.535457141,Friday,Spring
1987-05-16,salt,12,-6.047318612,73.0,27.681290474,Saturday,Spring
1987-05-17,salt,9,-33.69162996,66.0,14.347957141,Sunday,Spring
1987-05-18,salt,8,NA,63.0,8.4729571409,Monday,Spring
1987-05-19,salt,4,-21.36947428,61.0,2.9937904743,Tuesday,Spring
1987-05-20,salt,7,NA,57.0,2.2043471277,Wednesday,Spring
1987-05-21,salt,3,-20.92017544,55.0,11.412268735,Thursday,Spring
1987-05-22,salt,10,NA,56.0,16.264623808,Friday,Spring
1987-05-23,salt,12,-16.36947428,59.5,23.07621801,Saturday,Spring
1987-05-24,salt,9,-21.04731861,59.5,18.327123808,Sunday,Spring
1987-05-25,salt,5,-21.86947428,56.5,28.871507866,Monday,Spring
1987-05-26,salt,10,-16.04731861,55.0,23.952123808,Tuesday,Spring
1987-05-27,salt,6,-20.92017544,58.0,19.89505859,Wednesday,Spring
1987-05-28,salt,10,-22.04731861,58.0,3.6196962714,Thursday,Spring
1987-05-29,salt,9,-20.36947428,59.0,1.1604571409,Friday,Spring
1987-05-30,salt,5,-18.04731861,64.0,12.327123808,Saturday,Spring
1987-05-31,salt,8,11.130525716,70.5,21.827123808,Sunday,Spring
1987-06-01,salt,9,-18.04731861,56.5,18.713487444,Monday,Spring
1987-06-02,salt,19,-13.36947428,59.0,-1.226447621,Tuesday,Spring
1987-06-03,salt,14,-6.047318612,62.5,12.48491997,Wednesday,Spring
1987-06-04,salt,11,3.952681388,69.5,24.006659101,Thursday,Spring
1987-06-05,salt,11,1.952681388,78.5,15.15702142,Friday,Spring
1987-06-06,salt,8,-15.36947428,72.5,15.78202142,Saturday,Spring
1987-06-07,salt,8,-19.04731861,70.0,10.702311275,Sunday,Spring
1987-06-08,salt,12,-15.2,70.0,3.3110069269,Monday,Spring
1987-06-09,salt,7,-20.04731861,68.0,5.5736880863,Tuesday,Spring
1987-06-10,salt,7,-15.69162996,68.0,10.615354753,Wednesday,Spring
1987-06-11,salt,5,-9.047318612,71.0,13.44144171,Thursday,Spring
1987-06-12,salt,10,-4.369474284,76.0,17.224050405,Friday,Spring
1987-06-13,salt,7,-10.04731861,76.0,15.28202142,Saturday,Spring
1987-06-14,salt,8,-7.593834745,79.5,16.198688086,Sunday,Spring
1987-06-15,salt,9,NA,83.0,12.65702142,Monday,Spring
1987-06-16,salt,6,8.630525716,67.0,18.615354753,Tuesday,Spring
1987-06-17,salt,5,-9.047318612,74.5,20.251366232,Wednesday,Spring
1987-06-18,salt,15,37.952681388,71.0,11.636000619,Thursday,Spring
1987-06-19,salt,8,-15.04731861,69.0,7.0354571409,Friday,Spring
1987-06-20,salt,5,-9.2,71.5,16.056290474,Saturday,Spring
1987-06-21,salt,6,46.952681388,76.5,26.452123808,Sunday,Spring
1987-06-22,salt,14,224.13052572,64.0,26.476580329,Monday,Spring
1987-06-23,salt,9,-0.047318612,68.0,15.889623808,Tuesday,Spring
1987-06-24,salt,11,-12.36947428,74.5,4.0907107641,Wednesday,Spring
1987-06-25,salt,5,-6.047318612,72.0,1.9729571409,Thursday,Spring
1987-06-26,salt,6,-1.920175439,74.0,14.910457141,Friday,Spring
1987-06-27,salt,10,-10.04731861,77.0,17.764623808,Saturday,Spring
1987-06-28,salt,10,1.130525716,78.0,14.910457141,Sunday,Spring
1987-06-29,salt,11,-2.047318612,76.0,13.460275982,Monday,Spring
1987-06-30,salt,6,-12.69162996,75.0,13.862449895,Tuesday,Spring
1987-07-01,salt,9,-7.047318612,77.5,15.077123808,Wednesday,Summer
1987-07-02,salt,5,0.3596491228,78.0,8.5028484453,Thursday,Summer
1987-07-03,salt,14,-8.047318612,75.5,18.535457141,Friday,Summer
1987-07-04,salt,4,-2.260964912,77.5,19.352768101,Saturday,Summer
1987-07-05,salt,9,NA,78.0,18.003775736,Sunday,Summer
1987-07-06,salt,8,-12.66037736,72.0,2.8088808729,Monday,Summer
1987-07-07,salt,13,-8.786163522,70.5,5.6460785993,Tuesday,Summer
1987-07-08,salt,5,21.527623688,77.0,15.387252864,Wednesday,Summer
1987-07-09,salt,8,-3.883647799,78.5,15.906183298,Thursday,Summer
1987-07-10,salt,7,2.6738952871,69.0,5.8356883341,Friday,Summer
1987-07-11,salt,10,-14.8490566,66.5,3.8311270621,Saturday,Summer
1987-07-12,salt,10,-25.97435897,69.5,10.501459955,Sunday,Summer
1987-07-13,salt,8,-15.48427673,72.0,6.3145030474,Monday,Summer
1987-07-14,salt,13,-1.556896919,75.0,15.196095646,Tuesday,Summer
1987-07-15,salt,13,-4.172955975,80.0,28.595852064,Wednesday,Summer
1987-07-16,salt,11,15.334258232,80.0,12.328390839,Thursday,Summer
1987-07-17,salt,11,11.757861635,77.5,18.312824845,Friday,Summer
1987-07-18,salt,11,6.7735849057,66.5,19.20527386,Saturday,Summer
1987-07-19,salt,10,-10.18867925,67.5,9.8278031997,Sunday,Summer
1987-07-20,salt,11,10.97008547,72.5,-3.004103273,Monday,Summer
1987-07-21,salt,5,NA,67.5,-6.410036704,Tuesday,Summer
1987-07-22,salt,7,-10.04416404,69.5,-2.09020561,Wednesday,Summer
1987-07-23,salt,6,-6.03785489,72.0,12.649612662,Thursday,Summer
1987-07-24,salt,6,-9.022082019,79.0,0.8910411281,Friday,Summer
1987-07-25,salt,6,-10.9022082,80.0,3.6262710317,Saturday,Summer
1987-07-26,salt,5,-14.87697161,84.0,13.174680074,Sunday,Summer
1987-07-27,salt,6,-13.92223411,80.5,7.7698311703,Monday,Summer
1987-07-28,salt,8,-13.12618297,78.5,8.1239749202,Tuesday,Summer
1987-07-29,salt,8,-9.223974763,79.0,9.8189634646,Wednesday,Summer
1987-07-30,salt,7,-9.983263598,80.0,9.3569507463,Thursday,Summer
1987-07-31,salt,7,-13.60062893,84.0,9.8178306693,Friday,Summer
1987-08-01,salt,11,-8.311972118,82.0,13.097742893,Saturday,Summer
1987-08-02,salt,2,-4.422712934,78.5,10.850897208,Sunday,Summer
1987-08-03,salt,6,-1.152,76.0,8.762186974,Monday,Summer
1987-08-04,salt,5,-3.372239748,77.5,7.3791787179,Tuesday,Summer
1987-08-05,salt,12,3.4605809129,82.0,5.1173855517,Wednesday,Summer
1987-08-06,salt,10,5.5443037975,82.0,11.098302422,Thursday,Summer
1987-08-07,salt,13,-12.07242063,75.5,10.153166294,Friday,Summer
1987-08-08,salt,8,-9.628571429,73.5,9.7348395843,Saturday,Summer
1987-08-09,salt,5,-12.36220472,78.5,17.701148616,Sunday,Summer
1987-08-10,salt,8,-4.895238095,82.5,9.7381444170000009,Monday,Summer
1987-08-11,salt,11,-3.722085969,79.0,12.029823827,Tuesday,Summer
1987-08-12,salt,9,NA,77.0,9.5971995747,Wednesday,Summer
1987-08-13,salt,7,-2.640816327,77.5,12.585842569,Thursday,Summer
1987-08-14,salt,7,-21.34269006,67.5,6.1390926755,Friday,Summer
1987-08-15,salt,6,-18.94809983,65.5,13.151116442,Saturday,Summer
1987-08-16,salt,14,NA,68.5,10.05139345,Sunday,Summer
1987-08-17,salt,11,-23.58466454,68.0,2.8050467483,Monday,Summer
1987-08-18,salt,9,NA,70.0,10.312226511,Tuesday,Summer
1987-08-19,salt,3,-3.124038462,76.0,-3.582050567,Wednesday,Summer
1987-08-20,salt,5,3.2475884244,80.0,5.5548146251,Thursday,Summer
1987-08-21,salt,6,-16.48091603,75.0,1.3058388697,Friday,Summer
1987-08-22,salt,11,-13.23420807,73.0,17.061626861,Saturday,Summer
1987-08-23,salt,7,-26.63305129,77.0,12.184612362,Sunday,Summer
1987-08-24,salt,8,-24.29454356,72.5,8.6317573753,Monday,Summer
1987-08-25,salt,11,-23.01754386,68.5,2.4531470671,Tuesday,Summer
1987-08-26,salt,7,-13.55967949,68.0,-2.070083965,Wednesday,Summer
1987-08-27,salt,10,-10.26282051,68.5,-4.331699579,Thursday,Summer
1987-08-28,salt,6,9.5576923077,73.5,-3.097211279,Friday,Summer
1987-08-29,salt,6,-11.40601504,75.0,0.7792379963,Saturday,Summer
1987-08-30,salt,13,-9.944128205,74.0,1.9537549045,Sunday,Summer
1987-08-31,salt,14,5.2031641791,74.5,-1.857864724,Monday,Summer
1987-09-01,salt,9,2.1723178138,75.0,19.721885136,Tuesday,Summer
1987-09-02,salt,7,8.5866096866,77.5,7.8341691521,Wednesday,Summer
1987-09-03,salt,8,-6.956349206,71.5,6.290193213,Thursday,Summer
1987-09-04,salt,12,-15.87747036,66.5,3.3039078565,Friday,Summer
1987-09-05,salt,13,-13.70001767,64.0,-0.80354544,Saturday,Summer
1987-09-06,salt,9,-2.501757593,68.5,5.9847755482,Sunday,Summer
1987-09-07,salt,7,2.2684824164,70.0,11.16048028,Monday,Summer
1987-09-08,salt,8,1.2509803922,71.5,-0.091435359,Tuesday,Summer
1987-09-09,salt,10,-4.749019608,71.0,-1.318618938,Wednesday,Summer
1987-09-10,salt,11,-1.615384615,71.5,-2.939855573,Thursday,Summer
1987-09-11,salt,7,12.350729813,68.5,0.850717518,Friday,Summer
1987-09-12,salt,7,1.8704796963,70.5,10.021876007,Saturday,Summer
1987-09-13,salt,6,-5.578561801,71.5,7.7962497272,Sunday,Summer
1987-09-14,salt,7,-14.56230032,65.0,-1.257293547,Monday,Summer
1987-09-15,salt,11,4.9086586462,68.5,4.6335217234,Tuesday,Summer
1987-09-16,salt,7,-5.600638978,60.0,1.4535212186,Wednesday,Summer
1987-09-17,salt,5,-3.171406999,57.0,-2.002790289,Thursday,Summer
1987-09-18,salt,7,1.6677431218,61.0,-2.484389302,Friday,Summer
1987-09-19,salt,7,-0.74144404,65.0,-3.517891112,Saturday,Summer
1987-09-20,salt,12,8.2834101097,65.5,-0.661954874,Sunday,Summer
1987-09-21,salt,17,25.743839314,64.5,1.1885405951,Monday,Summer
1987-09-22,salt,7,2.2555910543,68.0,-2.498144031,Tuesday,Summer
1987-09-23,salt,13,12.694715482,69.0,3.4412882677,Wednesday,Summer
1987-09-24,salt,14,10.779610805,69.5,2.3222336152,Thursday,Summer
1987-09-25,salt,10,8.4319673138,71.5,-0.845551568,Friday,Summer
1987-09-26,salt,7,10.338658147,68.5,2.7832133202,Saturday,Summer
1987-09-27,salt,9,-16.51910828,55.5,4.0211608567,Sunday,Summer
1987-09-28,salt,9,-8.39200451,53.5,-1.2704974,Monday,Summer
1987-09-29,salt,8,-0.450636943,58.0,0.3180011118,Tuesday,Summer
1987-09-30,salt,5,12.527272727,62.0,1.7195760887,Wednesday,Summer
1987-10-01,salt,9,23.204471411,62.0,2.0650425742,Thursday,Autumn
1987-10-02,salt,9,15.708029197,63.0,1.2388816005,Friday,Autumn
1987-10-03,salt,7,13.820671271,65.0,6.4525397385,Saturday,Autumn
1987-10-04,salt,9,-0.412698413,65.5,-4.141839079,Sunday,Autumn
1987-10-05,salt,9,3.8024563945,60.5,-5.20333259,Monday,Autumn
1987-10-06,salt,7,4.4761904762,59.0,-1.296620266,Tuesday,Autumn
1987-10-07,salt,14,37.701785714,64.0,-1.106248744,Wednesday,Autumn
1987-10-08,salt,12,15.701587302,63.5,-6.112478193,Thursday,Autumn
